epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8914,2.00405,3.89477,3.95368,1.73541,0.00882,0.51587,0.04662,0.02335,0.00753,0.4246,0.04188,0.01868,1.35418,2.87951,3.78674,1.22912,0.00015719,0.00015719,0.00015719
2,58.3058,1.62016,2.74846,2.81163,1.34982,0.01524,0.81746,0.2979,0.17045,0.01412,0.72222,0.25668,0.13812,1.45279,2.61272,3.28932,1.16367,0.000322162,0.000322162,0.000322162
3,87.0636,1.46959,2.44294,2.00312,1.27954,0.01557,0.86905,0.42886,0.24697,0.01528,0.84127,0.41168,0.25099,1.27084,2.32356,3.19213,1.16213,0.000480344,0.000480344,0.000480344
4,116.459,1.44286,2.14219,1.65922,1.28012,0.01435,0.86111,0.54497,0.32841,0.01407,0.84921,0.54982,0.3289,1.39207,2.31939,3.12196,1.22997,0.000631735,0.000631735,0.000631735
5,145.37,1.37642,2.02743,1.50953,1.24847,0.20362,0.78571,0.70242,0.44468,0.20642,0.81349,0.70191,0.38695,1.36875,2.22077,2.87167,1.24977,0.000776336,0.000776336,0.000776336
6,174.867,1.35807,1.9064,1.37521,1.26327,0.01419,0.88492,0.64446,0.42267,0.01366,0.86111,0.64257,0.38058,1.32648,2.18492,2.85297,1.25325,0.000914146,0.000914146,0.000914146
7,203.987,1.32982,1.85769,1.28786,1.2374,1,0.28213,0.71772,0.46592,1,0.28213,0.71877,0.40245,1.33021,2.31449,2.51152,1.29636,0.00104516,0.00104516,0.00104516
8,234.07,1.27941,1.83034,1.24301,1.18791,0.95141,0.46859,0.74003,0.40825,0.88391,0.44081,0.69472,0.38709,1.4664,2.24384,2.26772,1.40056,0.00116939,0.00116939,0.00116939
9,263.54,1.28819,1.67402,1.21774,1.2042,0.87685,0.56033,0.72808,0.45117,0.87685,0.56033,0.7214,0.43393,1.37768,2.08661,2.15099,1.32728,0.00120265,0.00120265,0.00120265
10,292.447,1.2559,1.78409,1.19973,1.18347,0.80671,0.61602,0.71202,0.43063,0.7938,0.60693,0.69544,0.36601,1.42045,2.31106,2.15118,1.3991,0.00117435,0.00117435,0.00117435
11,321.985,1.23663,1.78638,1.15534,1.16821,0.88701,0.73783,0.8039,0.50458,0.84387,0.69048,0.75403,0.38624,1.34543,2.28125,1.48855,1.29705,0.00114606,0.00114606,0.00114606
12,351.245,1.24552,1.7214,1.12175,1.20732,0.7435,0.69048,0.70631,0.42441,0.7435,0.69048,0.70029,0.3654,1.40522,2.41476,1.4394,1.32511,0.00111776,0.00111776,0.00111776
13,379.861,1.21346,1.65482,1.11835,1.16382,0.84387,0.74941,0.81009,0.50055,0.83226,0.73617,0.8026,0.47174,1.374,1.96899,1.33858,1.31799,0.00108947,0.00108947,0.00108947
14,408.977,1.17949,1.62069,1.07008,1.13757,0.79923,0.78532,0.82371,0.52058,0.80052,0.82103,0.84891,0.4856,1.32148,2.0233,1.36589,1.26346,0.00106118,0.00106118,0.00106118
15,439.036,1.14884,1.4764,1.03535,1.14048,0.88565,0.74112,0.83796,0.56809,0.88565,0.74112,0.84673,0.5081,1.23445,1.92319,1.18433,1.22564,0.00103288,0.00103288,0.00103288
16,468.311,1.13998,1.54629,0.96033,1.12131,0.84158,0.80335,0.84118,0.5623,0.85403,0.81503,0.84498,0.5003,1.26593,1.83953,1.21846,1.24691,0.00100459,0.00100459,0.00100459
17,498.062,1.1882,1.59347,1.04885,1.15748,0.86021,0.86179,0.8519,0.53891,0.84027,0.84479,0.83204,0.47355,1.27609,1.93067,1.21,1.26483,0.000976293,0.000976293,0.000976293
18,527.509,1.14935,1.52578,1.02033,1.13452,0.8361,0.91217,0.89065,0.56558,0.8361,0.91217,0.88175,0.50654,1.26939,1.73168,1.14518,1.26365,0.000947999,0.000947999,0.000947999
19,556.812,1.09549,1.52885,0.96282,1.11736,0.8244,0.91442,0.8871,0.56071,0.8244,0.91442,0.89441,0.50622,1.3012,1.69175,1.08225,1.25948,0.000919704,0.000919704,0.000919704
20,586.351,1.10352,1.45659,0.94532,1.11723,0.86622,0.8628,0.86869,0.56359,0.87782,0.87456,0.87919,0.52469,1.26865,1.61533,1.08447,1.23326,0.00089141,0.00089141,0.00089141
21,615.764,1.0907,1.46456,0.92139,1.0989,0.77055,0.82249,0.82876,0.53993,0.80481,0.8439,0.84849,0.49667,1.25998,1.74691,1.15278,1.20279,0.000863116,0.000863116,0.000863116
22,645.896,1.10347,1.47943,0.92237,1.11453,0.83229,0.79083,0.83132,0.55039,0.77371,0.88492,0.84522,0.49311,1.20318,1.74049,1.05992,1.17803,0.000834822,0.000834822,0.000834822
23,675.509,1.12543,1.45342,0.89235,1.13924,0.73567,0.84881,0.83332,0.52792,0.77953,0.82143,0.84004,0.47256,1.29386,1.9947,1.13133,1.24359,0.000806528,0.000806528,0.000806528
24,705.6,1.0595,1.39235,0.87392,1.09788,0.80675,0.79987,0.86248,0.56674,0.80675,0.79987,0.8669,0.48938,1.1814,1.76785,1.08447,1.19499,0.000778233,0.000778233,0.000778233
25,735.23,1.08587,1.39684,0.88476,1.10782,0.81625,0.80056,0.87551,0.49617,0.81625,0.80056,0.85263,0.48513,1.40738,1.71775,1.12336,1.3434,0.000749939,0.000749939,0.000749939
26,764.792,1.07849,1.34654,0.84871,1.07825,0.82894,0.85714,0.89038,0.56563,0.85605,0.86049,0.89152,0.53819,1.23249,1.58753,1.00639,1.20722,0.000721645,0.000721645,0.000721645
27,794.347,1.04869,1.33312,0.82172,1.08044,0.898,0.87473,0.91614,0.58944,0.898,0.87473,0.91626,0.55034,1.24446,1.61721,0.90779,1.21827,0.000693351,0.000693351,0.000693351
28,823.623,0.97982,1.29332,0.82339,1.07083,0.92904,0.84127,0.9171,0.60974,0.92904,0.84127,0.92073,0.5662,1.17901,1.56706,0.85232,1.17432,0.000665057,0.000665057,0.000665057
29,853.451,1.05266,1.29515,0.8202,1.08965,0.84296,0.89138,0.90927,0.60383,0.87229,0.91477,0.92766,0.55168,1.17943,1.56355,0.88476,1.18935,0.000636762,0.000636762,0.000636762
30,882.916,0.97654,1.30146,0.76553,1.05036,0.91683,0.84608,0.90693,0.6209,0.89322,0.91806,0.93102,0.56941,1.16981,1.61221,0.83448,1.19214,0.000608468,0.000608468,0.000608468
31,914.105,1.00259,1.33498,0.78001,1.06504,0.90618,0.89683,0.91953,0.61431,0.90618,0.89683,0.91925,0.53707,1.15301,1.67174,0.83894,1.16305,0.000580174,0.000580174,0.000580174
32,943.467,0.95059,1.26436,0.75853,1.05256,0.84874,0.84664,0.86844,0.61182,0.84162,0.91877,0.92182,0.52825,1.10464,1.70934,0.86298,1.13785,0.00055188,0.00055188,0.00055188
33,972.84,0.96001,1.25611,0.7451,1.04147,0.7856,0.90873,0.85238,0.60317,0.83632,0.95865,0.91407,0.53589,1.07861,1.71015,0.89724,1.13485,0.000523586,0.000523586,0.000523586
