epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.46,1.75674,2.95742,2.90825,1.44285,0.0089,0.75679,0.42194,0.22884,0.0087,0.72469,0.41129,0.21844,1.27226,2.3182,3.2539,1.12799,0.000467977,0.000467977,0.000467977
2,220.393,1.49789,2.19001,1.64915,1.27511,0.78662,0.70415,0.78185,0.48903,0.78081,0.69625,0.7689,0.45169,1.30301,2.05701,1.93147,1.19159,0.000934961,0.000934961,0.000934961
3,329.48,1.46308,2.09872,1.51402,1.27202,0.73401,0.60691,0.63042,0.38594,0.74031,0.6117,0.62185,0.36039,1.38637,2.99304,1.81979,1.26938,0.00139251,0.00139251,0.00139251
4,437.796,1.43631,2.01204,1.38285,1.25526,0.79849,0.7059,0.76623,0.46419,0.8037,0.71034,0.77023,0.44937,1.35158,2.06723,1.36728,1.29082,0.00138656,0.00138656,0.00138656
5,545.439,1.42968,1.94419,1.30627,1.24673,0.86636,0.74655,0.84835,0.55612,0.87189,0.75975,0.85804,0.53754,1.23718,2.01698,1.15107,1.17662,0.00137241,0.00137241,0.00137241
6,653.391,1.3778,1.9007,1.19481,1.2144,0.83096,0.82247,0.87692,0.56741,0.83224,0.80285,0.8678,0.55343,1.16845,1.63033,1.0233,1.14154,0.00135826,0.00135826,0.00135826
7,760.128,1.31535,1.84714,1.09507,1.19324,0.86644,0.82633,0.88785,0.61211,0.87734,0.83715,0.8789,0.58035,1.10983,1.6402,0.89481,1.10514,0.00134412,0.00134412,0.00134412
8,867.718,1.33393,1.80067,1.02787,1.19084,0.80671,0.83,0.8593,0.60209,0.81499,0.83519,0.85868,0.54916,1.12491,1.63871,1.0332,1.10683,0.00132997,0.00132997,0.00132997
9,975.067,1.29648,1.73732,1.03295,1.17328,0.81872,0.87506,0.86957,0.59463,0.82595,0.87934,0.87012,0.56727,1.10731,1.57313,0.98502,1.10647,0.00131582,0.00131582,0.00131582
10,1082.6,1.25808,1.70643,0.9842,1.15052,0.80593,0.84963,0.86732,0.58469,0.8056,0.8479,0.8544,0.54787,1.13199,1.94987,0.94785,1.11974,0.00130168,0.00130168,0.00130168
11,1189.11,1.27379,1.65643,0.96085,1.17325,0.86116,0.83342,0.87865,0.59886,0.86116,0.83342,0.88032,0.57692,1.06908,1.54534,0.89321,1.08702,0.00128753,0.00128753,0.00128753
12,1296.57,1.22822,1.61195,0.89364,1.14098,0.88613,0.82074,0.89617,0.61841,0.89736,0.82691,0.90259,0.60135,1.12374,1.50269,0.83536,1.09625,0.00127338,0.00127338,0.00127338
13,1403.5,1.25001,1.66759,0.90391,1.15776,0.86757,0.81664,0.87101,0.57089,0.87378,0.82365,0.87335,0.55543,1.13386,1.48939,0.87347,1.1372,0.00125923,0.00125923,0.00125923
14,1510.37,1.23213,1.63204,0.89751,1.1481,0.88191,0.84296,0.90136,0.61761,0.88115,0.84296,0.90298,0.59263,1.0798,1.46345,0.85859,1.10263,0.00124509,0.00124509,0.00124509
15,1617.5,1.21989,1.61071,0.86888,1.13221,0.85144,0.87259,0.90344,0.62001,0.85057,0.87259,0.90416,0.60845,1.05757,1.39343,0.77669,1.08453,0.00123094,0.00123094,0.00123094
16,1724.38,1.16986,1.54841,0.82132,1.11216,0.83764,0.86644,0.88956,0.62051,0.84831,0.8766,0.90246,0.59654,1.07784,1.4118,0.80768,1.09202,0.00121679,0.00121679,0.00121679
17,1830.97,1.1548,1.55108,0.81506,1.11904,0.90193,0.87592,0.91876,0.6291,0.90313,0.87442,0.9125,0.59378,1.07159,1.46664,0.70535,1.08397,0.00120265,0.00120265,0.00120265
18,1937.34,1.15862,1.5148,0.7965,1.10296,0.8753,0.83802,0.88548,0.61243,0.88647,0.84864,0.89554,0.60188,1.10196,1.43474,0.7291,1.12602,0.0011885,0.0011885,0.0011885
19,2043.83,1.14629,1.48015,0.79294,1.0962,0.84424,0.90649,0.8828,0.62659,0.85723,0.91316,0.89237,0.59934,1.07447,1.40457,0.70018,1.08666,0.00117435,0.00117435,0.00117435
20,2150.52,1.14628,1.48396,0.78629,1.08931,0.89898,0.85851,0.90814,0.63229,0.90594,0.86576,0.91067,0.6078,1.09485,1.46634,0.73058,1.09851,0.00116021,0.00116021,0.00116021
21,2256.61,1.13361,1.45113,0.78199,1.09713,0.89002,0.89025,0.90934,0.63587,0.89531,0.89021,0.91887,0.60147,1.05316,1.40771,0.70162,1.08063,0.00114606,0.00114606,0.00114606
22,2363.19,1.14991,1.40945,0.76416,1.10257,0.88474,0.88241,0.90729,0.63595,0.87623,0.87426,0.88828,0.58975,1.03309,1.42135,0.6708,1.07873,0.00113191,0.00113191,0.00113191
23,2469.94,1.13491,1.43096,0.75605,1.09337,0.83137,0.92631,0.90798,0.65092,0.8499,0.90561,0.90579,0.62837,1.04731,1.32494,0.74932,1.06387,0.00111776,0.00111776,0.00111776
24,2576.45,1.1206,1.43349,0.75043,1.0812,0.86963,0.89127,0.90461,0.63602,0.86963,0.89127,0.90372,0.62036,1.09432,1.42603,0.68289,1.08606,0.00110362,0.00110362,0.00110362
25,2683.02,1.09676,1.43076,0.75729,1.07875,0.85728,0.84507,0.87291,0.60843,0.86706,0.85372,0.87823,0.57325,1.06581,1.50629,0.7719,1.10932,0.00108947,0.00108947,0.00108947
26,2790.37,1.10346,1.40234,0.73897,1.06898,0.84095,0.87234,0.90615,0.64485,0.85573,0.87951,0.90975,0.63257,1.02775,1.39727,0.81362,1.06928,0.00107532,0.00107532,0.00107532
27,2896.82,1.07727,1.39951,0.72213,1.06065,0.86704,0.90691,0.92091,0.67373,0.86807,0.90914,0.92275,0.6455,0.97501,1.23955,0.66475,1.04675,0.00106118,0.00106118,0.00106118
28,3003.24,1.09847,1.4154,0.73052,1.0773,0.90639,0.87242,0.90345,0.65995,0.91935,0.87853,0.91277,0.61791,0.98838,1.41464,0.69814,1.04883,0.00104703,0.00104703,0.00104703
29,3110.21,1.11671,1.40678,0.71622,1.07804,0.87187,0.9163,0.92866,0.66497,0.87529,0.91235,0.93204,0.64375,1.0492,1.35177,0.62403,1.06612,0.00103288,0.00103288,0.00103288
30,3216.75,1.05872,1.33236,0.68949,1.06953,0.87813,0.89911,0.92026,0.65855,0.87582,0.90688,0.92269,0.62282,1.03035,1.36585,0.63634,1.07953,0.00101873,0.00101873,0.00101873
31,3322.89,1.07142,1.34421,0.70444,1.07135,0.84973,0.85728,0.89131,0.64095,0.8553,0.86346,0.89659,0.616,0.99863,1.39792,0.68447,1.06594,0.00100459,0.00100459,0.00100459
32,3429.64,1.05366,1.35584,0.68778,1.04828,0.87077,0.90676,0.91993,0.65691,0.89091,0.89199,0.92507,0.63143,1.01116,1.3481,0.60822,1.07518,0.00099044,0.00099044,0.00099044
33,3536.11,1.04006,1.31753,0.67361,1.05388,0.88754,0.88175,0.91872,0.66661,0.88994,0.88398,0.9202,0.62755,1.0122,1.46393,0.64506,1.07157,0.000976293,0.000976293,0.000976293
34,3642.88,1.03697,1.31071,0.67242,1.04733,0.88121,0.8885,0.92659,0.67824,0.88334,0.89072,0.93041,0.64139,0.98672,1.30999,0.63141,1.06156,0.000962146,0.000962146,0.000962146
35,3749.56,1.04482,1.3019,0.67117,1.05157,0.89891,0.88846,0.91572,0.66718,0.90311,0.89349,0.92149,0.62781,1.00294,1.30701,0.63607,1.05938,0.000947999,0.000947999,0.000947999
36,3856.16,1.01874,1.29809,0.65023,1.04179,0.90114,0.92132,0.93115,0.6726,0.90543,0.92576,0.93517,0.63294,0.97963,1.32212,0.60603,1.04766,0.000933851,0.000933851,0.000933851
37,3963.04,1.02966,1.30109,0.66602,1.04601,0.8761,0.90617,0.90021,0.66287,0.87827,0.9084,0.90322,0.59754,0.97622,1.33843,0.67619,1.0371,0.000919704,0.000919704,0.000919704
38,4069.32,1.00224,1.28766,0.6522,1.04334,0.91259,0.89506,0.93824,0.69604,0.91719,0.89951,0.94181,0.66056,0.95091,1.30942,0.6026,1.02508,0.000905557,0.000905557,0.000905557
39,4175.85,0.99627,1.2782,0.6422,1.02166,0.90848,0.89514,0.9362,0.68719,0.90848,0.89514,0.93455,0.63951,1.00217,1.30094,0.60804,1.04749,0.00089141,0.00089141,0.00089141
40,4282.53,0.99744,1.26176,0.63969,1.0299,0.888,0.90914,0.92653,0.67284,0.90624,0.91541,0.93294,0.6444,0.96819,1.30854,0.59143,1.0675,0.000877263,0.000877263,0.000877263
